point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Seattle Rainmakers	1	10:00:00	8:46:00
2	Vancouver Nighthawks	1	8:46:00	6:13:00
3	Vancouver Nighthawks	1	6:13:00	5:56:00
4	Seattle Rainmakers	1	5:56:00	5:15:00
5	Seattle Rainmakers	1	5:15:00	3:33:00
6	Vancouver Nighthawks	1	3:33:00	2:23:00
7	Seattle Rainmakers	1	2:23:00	1:47:00
8	Vancouver Nighthawks	1	1:47:00	1:27:00
9	Seattle Rainmakers	1	1:27:00	0:47:00
10	Vancouver Nighthawks	2	0:47:00	0:31:00
11	Seattle Rainmakers	1	0:31:00	0:03:00
12	Vancouver Nighthawks	1	0:03:00	0:00:00
13	Vancouver Nighthawks	2	10:00:00	9:07:00
14	Seattle Rainmakers	2	9:07:00	8:51:00
15	Vancouver Nighthawks	2	8:51:00	8:38:00
16	Vancouver Nighthawks	2	8:38:00	7:48:00
17	Vancouver Nighthawks	2	7:48:00	6:56:00
18	Seattle Rainmakers	2	6:56:00	6:42:00
19	Vancouver Nighthawks	2	6:42:00	5:14:00
20	Seattle Rainmakers	2	5:14:00	4:12:00
21	Vancouver Nighthawks	2	4:12:00	3:58:00
22	Seattle Rainmakers	2	3:58:00	3:34:00
23	Vancouver Nighthawks	2	3:34:00	2:33:00
24	Seattle Rainmakers	2	2:33:00	0:32:00
25	Vancouver Nighthawks	2	0:32:00	0:00:00
26	Seattle Rainmakers	3	10:00:00	8:57:00
27	Seattle Rainmakers	3	8:57:00	8:43:00
28	Vancouver Nighthawks	3	8:43:00	7:38:00
29	Seattle Rainmakers	3	7:38:00	7:17:00
30	Vancouver Nighthawks	3	7:17:00	6:54:00
31	Seattle Rainmakers	3	6:54:00	5:31:00
32	Vancouver Nighthawks	3	5:31:00	5:22:00
33	Seattle Rainmakers	3	5:22:00	4:44:00
34	Vancouver Nighthawks	3	4:44:00	4:20:00
35	Seattle Rainmakers	3	4:20:00	4:04:00
36	Vancouver Nighthawks	3	4:04:00	3:32:00
37	Vancouver Nighthawks	3	3:32:00	2:41:00
38	Vancouver Nighthawks	3	2:41:00	2:06:00
39	Vancouver Nighthawks	3	2:06:00	0:00:00
40	Vancouver Nighthawks	4	10:00:00	9:17:00
41	Seattle Rainmakers	4	9:17:00	7:54:00
42	Seattle Rainmakers	4	7:54:00	7:16:00
43	Vancouver Nighthawks	4	7:16:00	6:06:00
44	Seattle Rainmakers	4	6:06:00	5:46:00
45	Vancouver Nighthawks	4	5:46:00	5:29:00
46	Seattle Rainmakers	4	5:29:00	5:26:00
47	Vancouver Nighthawks	4	5:26:00	4:33:00
48	Vancouver Nighthawks	4	4:33:00	3:48:00
49	Seattle Rainmakers	4	3:48:00	3:37:00
50	Vancouver Nighthawks	4	3:37:00	3:26:00
51	Seattle Rainmakers	4	3:26:00	2:50:00
52	Vancouver Nighthawks	4	2:50:00	1:08:00
53	Seattle Rainmakers	4	1:08:00	0:39:00
54	Vancouver Nighthawks	4	0:39:00	0:23:00
55	Seattle Rainmakers	4	0:23:00	0:00:00
